,cpu_names,cpu_prices,cpu_offers
0,Electrobot Intel Core i5-650 (8 GB RAM/Integrated Graph...,"<div class=""_30jeq3"">₹14,899</div>",<span>25% off</span>
1,Electrobot Intel Core i5-650 (8 GB RAM/Integrated Graph...,"<div class=""_30jeq3"">₹12,999</div>",<span>17% off</span>
2,Electrobot Intel Core i5 (4 GB RAM/Integrated Graphics/...,"<div class=""_30jeq3"">₹11,114</div>",<span>25% off</span>
3,Electrobot Intel Core i5-6400 (8 GB RAM/Integrated Inte...,"<div class=""_30jeq3"">₹24,999</div>",<span>23% off</span>
4,ASUS Core i5-11400F (8 GB RAM/NVIDIA GeForce GTX1650 Gr...,"<div class=""_30jeq3"">₹72,990</div>",<span>43% off</span>
5,Electrobot Intel Core I5 650 (8 GB RAM/Integrated Graph...,"<div class=""_30jeq3"">₹14,899</div>",<span>25% off</span>
6,iball Intel Core i5 (8 GB RAM/Nvidea 2 GB Super Perform...,"<div class=""_30jeq3"">₹26,999</div>",<span>15% off</span>
7,brozzo Intel Core i5-650 (4 GB RAM/1GB Integrated Graph...,"<div class=""_30jeq3"">₹12,999</div>",<span>48% off</span>
8,ASUS Core i5 (9400F) (8 GB RAM/NVIDIA GeForce GTX 1650 ...,"<div class=""_30jeq3"">₹75,990</div>",<span>8% off</span>
9,Electrobot Intel Core i5-650 (8 GB RAM/Integrated Graph...,"<div class=""_30jeq3"">₹14,599</div>",<span>23% off</span>
10,ASUS AMD Ryzen 5 Hexa Core (16 GB RAM/NVIDIA GeForce RT...,"<div class=""_30jeq3"">₹1,25,990</div>",<span>33% off</span>
11,MSI Core i7 11Gen (11700F) (16 GB RAM/Nvidia GeForce RT...,"<div class=""_30jeq3"">₹1,58,990</div>",<span>28% off</span>
12,ASUS Intel Core i5 (8 GB RAM/NVIDIA GeForce GTX1660TI G...,"<div class=""_30jeq3"">₹85,990</div>",<span>34% off</span>
13,DZAB Core i5 3470 (16 GB RAM/Nvidia Graphics Card Graph...,"<div class=""_30jeq3"">₹39,999</div>",<span>28% off</span>
14,iball Core i5 650 (8 GB RAM/Onboard Garphics Graphics/5...,"<div class=""_30jeq3"">₹19,899</div>",<span>44% off</span>
15,DZAB Core i5 650 (16 RAM/Nvidia Graphics Card Graphics/...,"<div class=""_30jeq3"">₹33,999</div>",<span>32% off</span>
16,Electrobot Intel Core i5 6th Gen-6400 (8 GB RAM/Integra...,"<div class=""_30jeq3"">₹27,999</div>",<span>30% off</span>
